NAME,RANK_PROJECTED,RANK_PROJECTED_LIVE,RANK_SCORED,FANTASY_POINTS_PROJECTED,FANTASY_POINTS_PROJECTED_LIVE,FANTASY_POINTS_SCORED,IPO_PRICE,SUGGESTED_PRICE,LAST_PRICE,BID_PRICE,ASK_PRICE,FINAL_PRICE,PROJECTED_VALUATION,CURRENT_VALUATION,TRADEABLE_ID,ENTITY_ID,TEAM_ID,TEAM_ABBREVIATION,EVENT_ID,EVENT_NAME,price,quantity
Josh Allen,1,1,1,29.28,29.28,NULL,NULL,15,NULL,NULL,NULL,NULL,16,25,tdbl_6345a9c17c6566500c39c7d291f628de,en_0c39c7d291f628de10cfcdcea10e9dd3,team_21219ce1e25ab5a51058ba397fad41ae,BUF,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,15,22
Patrick Mahomes,2,2,2,25.23,25.23,NULL,NULL,11.66,NULL,NULL,NULL,NULL,14,20,tdbl_6345a9c17c6566508e914f26c7c3ece7,en_8e914f26c7c3ece7255c834a3480489a,team_29338d32d4d1c136bf5645e6e65b7874,KC,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,9.29,22
Jalen Hurts,3,3,3,22.9,22.9,NULL,NULL,10.33,NULL,NULL,NULL,NULL,12,16,tdbl_6345a9c17c656650926ddda67cae848f,en_926ddda67cae848f51f5644c82a73199,team_225aab2f9ddb2784623537df6742aa52,PHI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,11.66,22
Cooper Kupp,4,5,4,21.49,21.49,NULL,NULL,9.29,NULL,NULL,NULL,NULL,11,14,tdbl_6345a9c17c656650c3c6f0df4e1cac03,en_c3c6f0df4e1cac03d08d5752daed43bc,team_d55ed18801253683bd0c300503b72aa8,LA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,10.33,22
Kyler Murray,5,4,5,21.83,21.83,NULL,NULL,9.18,NULL,NULL,NULL,NULL,10,12,tdbl_6345a9c17c6566505226c829ead5201f,en_5226c829ead5201f7c5c6e529e04b6f1,team_5d4e631aa0243be4a65e307323486ea6,ARI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,9.18,22
Stefon Diggs,6,6,6,19.79,19.79,NULL,NULL,7.72,NULL,NULL,NULL,NULL,9,11,tdbl_6345a9c17c65665086bac43fc8d01640,en_86bac43fc8d016409069ccd8dbb00917,team_21219ce1e25ab5a51058ba397fad41ae,BUF,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,7.72,22
Geno Smith,7,8,7,19.28,19.28,NULL,NULL,7.66,NULL,NULL,NULL,NULL,8,10,tdbl_6345a9c17c65665004d34c33df025574,en_04d34c33df025574bfb216fc32c5f8d1,team_63afd608a237bfbf186dce8c22e72a66,SEA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,7.62,22
Christian McCaffrey,8,7,8,19.34,19.34,NULL,NULL,7.62,1.01,NULL,NULL,NULL,20,9,tdbl_6345a9c17c656650ae3d9389391a1c5f,en_ae3d9389391a1c5f561483607d5e57bc,team_03e38ef6a95d4b29c4ed09d4d8de81e6,CAR,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,7.66,22
Matthew Stafford,9,10,9,18.81,18.81,NULL,NULL,7.3,NULL,NULL,NULL,NULL,7.5,8,tdbl_6345a9c17c6566505054c3b05e3fcfee,en_5054c3b05e3fcfee89be57a2b1667141,team_d55ed18801253683bd0c300503b72aa8,LA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,5.42,22
Travis Kelce,10,9,10,18.99,18.99,NULL,NULL,7.33,NULL,NULL,NULL,NULL,7,7.5,tdbl_6345a9c17c656650446b5e31a0a5e11a,en_446b5e31a0a5e11ab3b5bf74f6299313,team_29338d32d4d1c136bf5645e6e65b7874,KC,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,7.62,22
